model,preprocessing,class_weighting,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_healthy_recall,val_macro_f1,val_balanced_accuracy,selected
production,div255,none,0.6993006993006993,0.25724112114547754,0.27011579572446553,0.25724112114547754,0.2246660121322627,0.5570382705180805,0.6993006993006993,0.589812410668682,0.9867109634551495,,,
v1_balanced_alpha_1.00,mobilenet,full balanced alpha=1.0,0.5011655011655012,0.254761384846547,0.26554377750810526,0.254761384846547,0.2575524524038414,0.5465912843201789,0.5011655011655012,0.5216762286484092,0.6478405315614618,,,
alpha_0.25,mobilenet,damped alpha=0.25,0.696969696969697,0.24833887043189368,0.17505854800936768,0.24833887043189368,0.20535714285714285,0.4913065076999504,0.696969696969697,0.5763403263403264,0.9933554817275747,0.2066420664206642,0.24888888888888888,
alpha_0.50,mobilenet,damped alpha=0.5,0.6013986013986014,0.282403984631302,0.27893158896578774,0.282403984631302,0.2740796642281508,0.5658875989385066,0.6013986013986014,0.5786794418433481,0.8006644518272426,0.24277884657188817,0.2538673079294611,yes
alpha_0.75,mobilenet,damped alpha=0.75,0.6083916083916084,0.25654573435444705,0.2706450327930475,0.25654573435444705,0.25409574304358534,0.54184257011921,0.6083916083916084,0.5680028207653793,0.8305647840531561,0.22873828335868873,0.24052410901467505,
