image_name,face_height,shoulder_width,left_upper_arm_length,left_forearm_length,left_upper_arm_width_px,left_upper_arm_width_ratio_shoulder,left_upper_arm_width_ratio_face,left_upper_arm_width_ratio_length,right_upper_arm_length,right_forearm_length,right_upper_arm_width_px,right_upper_arm_width_ratio_shoulder,right_upper_arm_width_ratio_face,right_upper_arm_width_ratio_length
IMG_20221103_112119_1_frontal1.jpg,398.9524342164765,524.9209472768918,380.03134324408865,329.5392316757746,465.0,0.8858476736587845,1.1655524822482604,1.2235832866589038,395.71914651467296,364.0378283532499,506.0,0.963954672841602,1.2683216258443437,1.278684654145836
IMG_20221201_115626_112_frontal1.jpg,422.84486566948686,657.0460432515782,478.8475092062121,405.40593804533785,624.0,0.9497051331622963,1.4757185215244977,1.3031288416523412,517.7148859429312,432.18407140317123,666.0,1.01362759404822,1.5750457297040312,1.2864223496046328
IMG_20221203_134553_219_frontal1.jpg,283.20853560335473,440.24262060335144,365.0046337309839,272.2657027167334,422.0,0.9585623477837062,1.4900680839331355,1.1561497060637944,333.6178701727129,292.7502317231169,408.0,0.9267617011747681,1.4406345456036003,1.222956071833861
IMG_20221210_134601_326_frontal1.jpg,359.83309095887006,626.2518698797564,576.216304394139,543.8644344658221,,,,,576.9006110119403,558.8470360488698,,,,
IMG_20230606_040135_441_frontal1.jpg,375.8320276960748,582.5235549849192,498.36239555368746,441.77039916841863,580.0,0.9956678919447566,1.543242611747369,1.1638117265160266,507.86401500402326,422.25004828829134,570.0,0.9785012041526056,1.5166349805103454,1.1223476819783826
IMG_20231025_111449_550_frontal1.jpg,253.47536901865294,393.83396293896664,340.1141020732839,314.35608145015283,,,,,344.86020223507694,307.92608841390944,396.0,1.0054998737154852,1.5622819745095582,1.1482913871576959
IMG_20231101_084703_658_frontal1.jpg,239.80279066584163,373.58152368957235,310.18852489199054,273.96762840675956,369.0,0.9877362144564211,1.5387644112707222,1.1895991321035746,317.3227531393062,283.1303600080307,389.0,1.041272052638341,1.6221662763802462,1.225881208175536
IMG_20231106_104335_765_frontal1.jpg,323.6650957386495,498.2772154020009,459.26065135929235,403.7766403815262,,,,,459.6502198176607,382.4670940343208,,,,
IMG_20231109_125243_871_frontal1.jpg,242.81093533001106,399.8913213108328,314.92591052709344,265.32858108391474,345.0,0.8627344021098019,1.4208585767815645,1.0954957609634957,307.33743057330247,223.11748499676244,361.0,0.9027452729322855,1.4867534672989704,1.1746047311145804
IMG_20231117_123021_978_frontal1.jpg,291.31743175552805,494.2290594571829,425.45378586574697,410.26539148736003,499.0,1.0096532983067752,1.7129081393891938,1.1728653418481054,458.36546473839337,401.9358223973668,,,,
IMG_20231128_113054_1084_frontal1.jpg,281.9758132285378,473.7352622907331,394.56741664155544,362.1360157643415,457.0,0.9646738091443516,1.6207063817548328,1.1582304587891539,418.43257311703593,335.62028336475515,480.0,1.0132241321428639,1.70227366136175,1.1471382268935923
IMG_20231129_135407_1190_frontal1.jpg,354.92453370780095,600.9694316245408,507.644336596313,446.51706452725665,565.0,0.9401476518908654,1.5918877010208263,1.112983952087891,527.8586195225711,463.2526412855622,626.0,1.04165031873218,1.7637552227239597,1.185923610693701
IMG_20231205_133240_1298_frontal1.jpg,259.2261781607279,419.5565510633472,378.45956509754586,279.38724071977776,,,,,366.53258410021516,312.28980041403025,438.0,1.0439593873338617,1.689644167528586,1.1949824353958245
IMG_20231211_102248_1405_frontal1.jpg,333.6615437880027,585.3359856398872,461.08882140123296,394.0322256035947,538.0,0.9191302315231146,1.6124123682105453,1.1668033902124033,498.97915182063383,385.8128592608552,597.0,1.019927041299813,1.7892382598916274,1.1964427728527651
IMG_20231215_112900_1513_frontal1.jpg,257.7453705074966,446.0293844703294,377.44687634988674,347.34854774142366,423.0,0.9483680105567992,1.6411545983042086,1.1206875099633526,394.91929583533346,297.4082148566138,444.0,0.9954501103716759,1.7226303585037084,1.1242803395079772
IMG_20231227_090853_1621_frontal1.jpg,333.1776111323899,597.1732606683935,482.7618872541506,430.3930724441216,566.0,0.947798632789582,1.6987936196441988,1.1724206382970506,483.0402541674115,405.6786066820219,586.0,0.9812897505559983,1.758821662741167,1.213149411346792
IMG_20240102_100544_1730_frontal1.jpg,279.21474372257245,442.3443297613747,330.77084906697854,,413.0,0.9336617928906092,1.4791482516065,1.2485985423593682,381.7201765129765,,462.0,1.0444352259454273,1.654640417051339,1.2103106632203249
IMG_20240108_112001_1837_frontal1.jpg,240.7645495496354,435.46895066823714,328.44612772941986,226.09633868900286,398.0,0.9139572394065291,1.6530672839688525,1.2117664554349075,322.4507813362891,235.7759402219378,395.0,0.9070681144863794,1.6406069778082832,1.224993155119845
IMG_20240120_124213_1947_frontal1.jpg,220.4850693989645,358.6091361625108,280.4553250735036,227.6046905553153,350.0,0.9759929815100711,1.587409074701018,1.2479705989118575,288.1621416193718,210.45206243642573,359.0,1.0010899438917586,1.62822816519333,1.2458263878195235
IMG_20240124_093949_2055_frontal1.jpg,315.91034860536274,515.5121196316749,425.6975847372464,364.7851151938719,508.0,0.9854278505866318,1.608051151988683,1.1933354057283485,447.99884800264215,363.963426292103,,,,
