class,precision,recall,f1-score,support
healthy,0.7421875,0.4222222222222222,0.5382436260623229,225.0
underweight,0.20238095238095238,0.32075471698113206,0.24817518248175183,53.0
stunted,0.022222222222222223,0.1111111111111111,0.037037037037037035,9.0
stunted and underweight,0.109375,0.20588235294117646,0.14285714285714285,34.0
accuracy,0.37383177570093457,0.37383177570093457,0.37383177570093457,0.37383177570093457
macro avg,0.2690414186507937,0.26499260081391046,0.24157824710956366,321.0
weighted avg,0.5658477507046432,0.37383177570093457,0.4344192421371705,321.0
