class,precision,recall,f1-score,support
healthy,0.7045454545454546,0.41333333333333333,0.5210084033613446,225.0
underweight,0.20689655172413793,0.33962264150943394,0.2571428571428571,53.0
stunted,0.04285714285714286,0.3333333333333333,0.0759493670886076,9.0
stunted and underweight,0.21875,0.20588235294117646,0.21212121212121213,34.0
accuracy,0.37694704049844235,0.37694704049844235,0.37694704049844235,0.37694704049844235
macro avg,0.2932622872816838,0.3230429152793192,0.2665554599285053,321.0
weighted avg,0.5523721457938344,0.37694704049844235,0.43224650374078705,321.0
