class,precision,recall,f1-score,support
healthy,0.7044025157232704,0.49777777777777776,0.5833333333333334,225.0
underweight,0.11688311688311688,0.16981132075471697,0.13846153846153847,53.0
stunted,0.045454545454545456,0.1111111111111111,0.06451612903225806,9.0
stunted and underweight,0.09523809523809523,0.17647058823529413,0.12371134020618557,34.0
accuracy,0.3987538940809969,0.3987538940809969,0.3987538940809969,0.3987538940809969
macro avg,0.240494568324757,0.23879269946972498,0.22750558525832887,321.0
weighted avg,0.524400490279524,0.3987538940809969,0.44665200083103485,321.0
