class,precision,recall,f1-score,support
healthy,0.75,0.7733333333333333,0.7614879649890591,225.0
underweight,0.22448979591836735,0.20754716981132076,0.21568627450980393,53.0
stunted,0.0,0.0,0.0,9.0
stunted and underweight,0.11428571428571428,0.11764705882352941,0.11594202898550725,34.0
accuracy,0.5887850467289719,0.5887850467289719,0.5887850467289719,0.5887850467289719
macro avg,0.2721938775510204,0.2746318904920459,0.27327906712109257,321.0
weighted avg,0.5748712569139804,0.5887850467289719,0.5816454631061221,321.0
