class,precision,recall,f1-score,support
healthy,0.7014925373134329,0.6266666666666667,0.6619718309859155,225.0
underweight,0.16666666666666666,0.07547169811320754,0.1038961038961039,53.0
stunted,0.0,0.0,0.0,9.0
stunted and underweight,0.12631578947368421,0.35294117647058826,0.18604651162790697,34.0
accuracy,0.48909657320872274,0.48909657320872274,0.48909657320872274,0.48909657320872274
macro avg,0.24861874836344594,0.26376988531261564,0.2379786116274816,321.0
weighted avg,0.5325977914983209,0.48909657320872274,0.5008589933759294,321.0
