class,precision,recall,f1-score,support
healthy,0.75,0.5333333333333333,0.6233766233766234,225.0
underweight,0.2191780821917808,0.3018867924528302,0.25396825396825395,53.0
stunted,0.04918032786885246,0.3333333333333333,0.08571428571428572,9.0
stunted and underweight,0.07407407407407407,0.058823529411764705,0.06557377049180328,34.0
accuracy,0.4392523364485981,0.4392523364485981,0.4392523364485981,0.4392523364485981
macro avg,0.2731081210336769,0.3068442471328154,0.2571582333877416,321.0
weighted avg,0.5711139558426871,0.4392523364485981,0.48822739715952523,321.0
