class,precision,recall,f1-score,support
healthy,0.7142857142857143,0.2222222222222222,0.3389830508474576,225.0
underweight,0.1761006289308176,0.5283018867924528,0.2641509433962264,53.0
stunted,0.04054054054054054,0.3333333333333333,0.07228915662650602,9.0
stunted and underweight,0.2222222222222222,0.11764705882352941,0.15384615384615385,34.0
accuracy,0.26479750778816197,0.26479750778816197,0.26479750778816197,0.26479750778816197
macro avg,0.28828727649482366,0.30037612529288443,0.20731732617908596,321.0
weighted avg,0.5544175684362601,0.26479750778816197,0.2995406793803294,321.0
