class,precision,recall,f1-score,support
healthy,0.73568281938326,0.7422222222222222,0.7389380530973452,225.0
underweight,0.21818181818181817,0.22641509433962265,0.2222222222222222,53.0
stunted,0.0,0.0,0.0,9.0
stunted and underweight,0.17647058823529413,0.17647058823529413,0.17647058823529413,34.0
accuracy,0.5763239875389408,0.5763239875389408,0.5763239875389408,0.5763239875389408
macro avg,0.28258380645009307,0.28627697619928477,0.2844077158887154,321.0
weighted avg,0.5703809056849528,0.5763239875389408,0.5733297187684748,321.0
