class,precision,recall,f1-score,support
healthy,0.9360730593607306,0.9111111111111111,0.9234234234234234,225.0
underweight,0.5846153846153846,0.7169811320754716,0.6440677966101694,53.0
stunted,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.0
stunted and underweight,0.6071428571428571,0.5,0.5483870967741935,34.0
accuracy,0.8193146417445483,0.8193146417445483,0.8193146417445483,0.8193146417445483
macro avg,0.6152911586130764,0.615356394129979,0.6123029125352799,321.0
weighted avg,0.8263050183290871,0.8193146417445483,0.8210312298471396,321.0
