class,precision,recall,f1-score,support
healthy,0.7518248175182481,0.4577777777777778,0.569060773480663,225.0
underweight,0.20588235294117646,0.39622641509433965,0.2709677419354839,53.0
stunted,0.034482758620689655,0.1111111111111111,0.05263157894736842,9.0
stunted and underweight,0.1509433962264151,0.23529411764705882,0.1839080459770115,34.0
accuracy,0.4143302180685358,0.4143302180685358,0.4143302180685358,0.4143302180685358
macro avg,0.28578333132663236,0.30010235540757185,0.2691420350851317,321.0
weighted avg,0.5779276291176714,0.4143302180685358,0.46456860476471823,321.0
