class,precision,recall,f1-score,support
healthy,0.7216494845360825,0.6222222222222222,0.6682577565632458,225.0
underweight,0.13793103448275862,0.1509433962264151,0.14414414414414414,53.0
stunted,0.0,0.0,0.0,9.0
stunted and underweight,0.14035087719298245,0.23529411764705882,0.17582417582417584,34.0
accuracy,0.48598130841121495,0.48598130841121495,0.48598130841121495,0.48598130841121495
macro avg,0.24998284905295587,0.25211493402392404,0.24705651913289145,321.0
weighted avg,0.5434685628435082,0.48598130841121495,0.5108275914155511,321.0
