class,precision,recall,f1-score,support
healthy,0.7446808510638298,0.7777777777777778,0.7608695652173914,225.0
underweight,0.19607843137254902,0.18867924528301888,0.19230769230769232,53.0
stunted,0.0,0.0,0.0,9.0
stunted and underweight,0.23333333333333334,0.20588235294117646,0.21875,34.0
accuracy,0.5981308411214953,0.5981308411214953,0.5981308411214953,0.5981308411214953
macro avg,0.293523153942428,0.2930848440004933,0.2929818143812709,321.0
weighted avg,0.5790613136618072,0.5981308411214953,0.5882413079944572,321.0
