class,precision,recall,f1-score,support
healthy,0.6878306878306878,0.5777777777777777,0.6280193236714976,225.0
underweight,0.12162162162162163,0.16981132075471697,0.14173228346456693,53.0
stunted,0.0,0.0,0.0,9.0
stunted and underweight,0.125,0.17647058823529413,0.14634146341463414,34.0
accuracy,0.4517133956386293,0.4517133956386293,0.4517133956386293,0.4517133956386293
macro avg,0.23361307736307735,0.2310149216919472,0.22902326763767467,321.0
weighted avg,0.5154450177814663,0.4517133956386293,0.4791020828841326,321.0
