class,precision,recall,f1-score,support
healthy,0.7477477477477478,0.3688888888888889,0.49404761904761907,225.0
underweight,0.2222222222222222,0.41509433962264153,0.2894736842105263,53.0
stunted,0.015625,0.1111111111111111,0.0273972602739726,9.0
stunted and underweight,0.10638297872340426,0.14705882352941177,0.12345679012345678,34.0
accuracy,0.34579439252336447,0.34579439252336447,0.34579439252336447,0.34579439252336447
macro avg,0.27299448717334357,0.2605382907880133,0.2335938384138937,321.0
weighted avg,0.5725192127651613,0.34579439252336447,0.40793434814808555,321.0
