class,precision,recall,f1-score,support
healthy,0.976878612716763,0.7511111111111111,0.8492462311557789,225.0
underweight,0.6388888888888888,0.8679245283018868,0.736,53.0
stunted,0.13636363636363635,0.6666666666666666,0.22641509433962265,9.0
stunted and underweight,0.8125,0.7647058823529411,0.7878787878787878,34.0
accuracy,0.7694704049844237,0.7694704049844237,0.7694704049844237,0.7694704049844237
macro avg,0.6411577844923221,0.7626020471081514,0.6498850283435473,321.0
weighted avg,0.8800967965721356,0.7694704049844237,0.8065857216416998,321.0
