class,precision,recall,f1-score,support
healthy,0.7239819004524887,0.7111111111111111,0.7174887892376681,225.0
underweight,0.19642857142857142,0.20754716981132076,0.2018348623853211,53.0
stunted,0.0,0.0,0.0,9.0
stunted and underweight,0.18421052631578946,0.20588235294117646,0.19444444444444445,34.0
accuracy,0.5545171339563862,0.5545171339563862,0.5545171339563862,0.5545171339563862
macro avg,0.2761552495492124,0.2811351584659021,0.2784420240168584,321.0
weighted avg,0.5594074759571996,0.5545171339563862,0.5568328236635778,321.0
