class,precision,recall,f1-score,support
healthy,0.7168949771689498,0.6977777777777778,0.7072072072072072,225.0
underweight,0.18181818181818182,0.18867924528301888,0.18518518518518517,53.0
stunted,0.0,0.0,0.0,9.0
stunted and underweight,0.13157894736842105,0.14705882352941177,0.1388888888888889,34.0
accuracy,0.5358255451713395,0.5358255451713395,0.5358255451713395,0.5358255451713395
macro avg,0.25757302658888814,0.2583789616475521,0.2578203203203203,321.0
weighted avg,0.546453014672597,0.5358255451713395,0.5409927061017403,321.0
