class,precision,recall,f1-score,support
healthy,0.7384615384615385,0.21333333333333335,0.3310344827586207,225.0
underweight,0.192090395480226,0.6415094339622641,0.2956521739130435,53.0
stunted,0.04918032786885246,0.3333333333333333,0.08571428571428572,9.0
stunted and underweight,0.2222222222222222,0.11764705882352941,0.15384615384615385,34.0
accuracy,0.2772585669781931,0.2772585669781931,0.2772585669781931,0.2772585669781931
macro avg,0.30048862100820983,0.3264557898631151,0.21656177405802596,321.0
weighted avg,0.5742455315285775,0.2772585669781931,0.29954679638716125,321.0
